Tip obveze;Tedenska obveza;Polna letna obveza;Opis
Učitelj PP 7/1,7/2  ZNIŽANO;;805;66. člen KP VIZ (23 ur tedensko)
Vinogradnik – Sadjar 4;0;100;
Vodja I-7/2 Vodja MIC;;100;
Vodja II-7/2 Vodja projektne pisarne;;100;
Vodja posestva 6;0;100;
Vratar 3;0;100;
Vzdrževalec 6;0;100;
Vzdrževalec računalniške opreme 7/1;0;100;
Vzgojitelj  7/1, 7/2;;1050;6. člen PRAVILNIK o normativih in standardih za izvajanje izobraževalnih programov in vzgojnega programa na področju srednjega šolstva (30 ur na teden)
Vzgojitelj 7/1, 7/2 ZNIŽANO;;980;6. člen PRAVILNIK o normativih in standardih za izvajanje izobraževalnih programov in vzgojnega programa na področju srednjega šolstva (28 ur na teden)
